Name	GWP_constr	GWP_op
TS_HIGH_TEMP	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
SLF_STO	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
MOTORWAYS	0.000000	0.000000
ROADS	0.000000	0.000000
RAILWAYS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
SLF_TO_DIESEL	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000
SLF_TO_LFO	0.000000	0.000000
SLF_biomass_gasif	0.000000	0.000000
SLF_biomass_gasif_H2	0.000000	0.000000
SLF_pyrolysis_upgrade_2	0.000000	0.000000
SLF_pyrolysis_upgrade_2b	0.000000	0.000000
Cellulosic_ethanol	0.000000	0.000000
GASIFICATION_SNG_H2	0.000000	0.000000
ELECTRICITY	0.000000	3011.661807
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	26840.041001
NG	0.000000	49004.423098
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WET_BIOMASS	0.000000	170.663400
COAL	0.000000	13388.696775
URANIUM	0.000000	156.784903
WASTE	0.000000	2671.780000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
WOOD	0.000000	0.000000
WOOD1	0.000000	279.072000
WOOD2	0.000000	0.000000
WOOD3	0.000000	158.932800
WOOD4	0.000000	105.298903
WOOD5	0.000000	0.000000
WOOD6	0.000000	0.000000
WOOD7	0.000000	0.000000
WOOD8	0.000000	0.000000
WOOD9	0.000000	0.000000
WOOD10	0.000000	0.000000
