Name	C_inv	C_maint	C_op
BIO_HYDROLYSIS	0.000000	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
SLF_TO_DIESEL	0.000000	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000	0.000000
SLF_TO_LFO	0.000000	0.000000	0.000000
SLF_biomass_gasif	0.000000	0.000000	0.000000
SLF_biomass_gasif_H2	0.000000	0.000000	0.000000
SLF_pyrolysis_upgrade_2	0.000000	0.000000	0.000000
SLF_pyrolysis_upgrade_2b	0.000000	0.000000	0.000000
Cellulosic_ethanol	0.000000	0.000000	0.000000
GASIFICATION_SNG_H2	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	1229.980686
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	4590.442993
NG	0.000000	0.000000	8134.267350
SLF	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000	83.269710
COAL	0.000000	0.000000	588.978978
URANIUM	0.000000	0.000000	155.838404
WASTE	0.000000	0.000000	410.839255
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
WOOD1	0.000000	0.000000	286.824000
WOOD2	0.000000	0.000000	0.000000
WOOD3	0.000000	0.000000	145.467660
WOOD4	0.000000	0.000000	124.896198
WOOD5	0.000000	0.000000	0.000000
WOOD6	0.000000	0.000000	0.000000
WOOD7	0.000000	0.000000	0.000000
WOOD8	0.000000	0.000000	0.000000
WOOD9	0.000000	0.000000	0.000000
WOOD10	0.000000	0.000000	0.000000
